------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.1 Firmware v1.3.0 date format M/d/yyyy at 80 Hz  Filter Normal -----------,,
Serial Number: TAS1D50140012,,
Start Time 15:45:00,,
Start Date 11/12/2015,,
Epoch Period (hh:mm:ss) 00:00:00,,
Download Time 17:45:17,,
Download Date 11/12/2015,,
Current Memory Address: 0,,
Current Battery Voltage: 4.11     Mode = 12,,
--------------------------------------------------,,
Accelerometer X,Accelerometer Y,Accelerometer Z
0.965,0.328,0.043
1.016,-0.629,2.133
0.273,-0.242,1.758
0.059,-0.086,1.246
0.012,-0.043,1.102
0,-0.031,1.07
0.004,-0.023,1.07
-0.004,-0.023,1.059
-0.004,-0.023,1.063
-0.004,-0.02,1.063
-0.004,-0.023,1.066
-0.004,-0.023,1.066
0,-0.023,1.063
0,-0.023,1.066
-0.004,-0.023,1.059
-0.004,-0.023,1.055
0,-0.023,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.055
0,-0.023,1.059
-0.004,-0.023,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.066
-0.004,-0.02,1.066
-0.004,-0.02,1.063
-0.004,-0.02,1.066
-0.004,-0.02,1.066
-0.004,-0.023,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.059
-0.004,-0.023,1.059
-0.004,-0.023,1.059
-0.004,-0.023,1.059
-0.004,-0.02,1.059
-0.004,-0.02,1.063
-0.008,-0.023,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.059
-0.004,-0.02,1.059
-0.004,-0.02,1.066
-0.004,-0.023,1.063
-0.008,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.023,1.063
-0.008,-0.023,1.066
-0.008,-0.023,1.063
-0.004,-0.023,1.066
-0.004,-0.02,1.066
-0.004,-0.02,1.066
-0.008,-0.016,1.059
-0.004,-0.012,1.066
-0.004,-0.02,1.059
-0.004,-0.023,1.063
0,-0.02,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.063
-0.008,-0.023,1.059
-0.004,-0.023,1.059
-0.004,-0.02,1.059
-0.004,-0.023,1.059
-0.004,-0.023,1.063
-0.004,-0.023,1.059
-0.004,-0.02,1.059
-0.004,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.016,1.063
-0.004,-0.02,1.066
-0.004,-0.02,1.059
-0.008,-0.023,1.059
-0.008,-0.016,1.063
-0.004,-0.012,1.066
-0.004,-0.02,1.063
-0.004,-0.02,1.066
-0.004,-0.023,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.063
-0.008,-0.02,1.059
-0.004,-0.02,1.059
-0.004,-0.02,1.055
-0.004,-0.023,1.059
-0.012,-0.02,1.063
-0.008,-0.023,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.066
-0.004,-0.023,1.063
-0.008,-0.023,1.063
-0.004,-0.023,1.063
0,-0.02,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.066
-0.004,-0.02,1.063
-0.004,-0.02,1.066
0,-0.016,1.063
-0.004,-0.02,1.063
-0.004,-0.023,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.066
0,-0.02,1.063
0,-0.02,1.066
-0.004,-0.02,1.066
-0.004,-0.023,1.063
-0.004,-0.023,1.066
0,-0.016,1.063
-0.004,-0.02,1.059
-0.004,-0.023,1.063
-0.004,-0.02,1.063
-0.008,-0.02,1.063
-0.004,-0.016,1.063
-0.004,-0.02,1.063
0,-0.02,1.066
-0.004,-0.023,1.063
-0.008,-0.02,1.063
-0.004,-0.02,1.07
-0.004,-0.023,1.066
-0.004,-0.02,1.063
-0.004,-0.02,1.059
0,-0.02,1.066
0,-0.02,1.066
-0.008,-0.023,1.07
-0.008,-0.023,1.066
-0.008,-0.023,1.059
-0.004,-0.02,1.055
-0.004,-0.02,1.059
-0.004,-0.023,1.066
-0.008,-0.023,1.063
-0.004,-0.023,1.063
-0.008,-0.023,1.066
-0.004,-0.02,1.066
-0.008,-0.023,1.063
-0.008,-0.02,1.063
-0.004,-0.023,1.059
-0.004,-0.023,1.066
-0.004,-0.023,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.066
-0.004,-0.02,1.063
-0.004,-0.02,1.07
-0.004,-0.016,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.023,1.066
-0.004,-0.02,1.063
-0.008,-0.023,1.066
-0.004,-0.02,1.059
-0.004,-0.023,1.063
-0.004,-0.023,1.066
-0.004,-0.02,1.063
-0.004,-0.023,1.063
-0.008,-0.02,1.063
-0.004,-0.016,1.063
-0.008,-0.016,1.063
-0.004,-0.02,1.066
-0.004,-0.02,1.066
-0.004,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.023,1.063
-0.008,-0.02,1.066
-0.008,-0.023,1.063
-0.004,-0.023,1.063
-0.004,-0.016,1.063
-0.004,-0.02,1.066
-0.004,-0.023,1.063
0,-0.016,1.063
-0.004,-0.02,1.055
-0.004,-0.02,1.059
-0.004,-0.02,1.063
-0.004,-0.02,1.066
-0.004,-0.023,1.063
-0.004,-0.02,1.063
-0.008,-0.023,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.063
-0.004,-0.02,1.063
-0.004,-0.023,1.063
-0.004,-0.02,1.066
-0.004,-0.02,1.063
-0.004,-0.02,1.059
-0.004,-0.02,1.063
0,-0.02,1.063
0,-0.016,1.059
-0.004,-0.02,1.063
0,-0.02,1.063
-0.004,-0.023,1.066
-0.004,-0.023,1.063
-0.004,-0.016,1.063
-0.004,-0.02,1.063
-0.004,-0.016,1.063
-0.004,-0.02,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.066
-0.004,-0.02,1.066
-0.004,-0.02,1.066
-0.004,-0.016,1.063
-0.008,-0.016,1.066
-0.004,-0.012,1.063
-0.004,-0.016,1.063
-0.008,-0.016,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.066
-0.004,-0.016,1.066
-0.008,-0.02,1.063
0,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.023,1.066
-0.004,-0.02,1.066
-0.008,-0.02,1.063
-0.008,-0.023,1.059
-0.008,-0.02,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.066
-0.004,-0.023,1.066
-0.004,-0.023,1.059
-0.004,-0.02,1.066
-0.004,-0.02,1.066
-0.004,-0.02,1.063
0,-0.02,1.066
0,-0.02,1.063
-0.004,-0.023,1.066
-0.004,-0.02,1.063
-0.008,-0.02,1.066
-0.008,-0.02,1.066
-0.004,-0.023,1.066
-0.004,-0.02,1.063
-0.004,-0.016,1.066
0,-0.016,1.063
0,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.023,1.059
-0.004,-0.016,1.063
-0.004,-0.023,1.063
-0.004,-0.02,1.066
-0.004,-0.02,1.063
-0.008,-0.02,1.063
-0.004,-0.023,1.063
-0.008,-0.023,1.063
-0.008,-0.023,1.063
-0.004,-0.02,1.063
-0.004,-0.023,1.066
-0.004,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.059
-0.004,-0.023,1.066
-0.004,-0.016,1.066
-0.004,-0.02,1.066
