------------ Data Table File Created By ActiGraph wGT3XBT ActiLife v6.11.6 Firmware v1.8.0 date format M/d/yyyy Filter Normal -----------
Serial Number: MOS2C35140024
Start Time 13:19:00
Start Date 5/17/2016
Epoch Period (hh:mm:ss) 00:00:01
Download Time 16:38:21
Download Date 5/17/2016
Current Memory Address: 0
Current Battery Voltage: 4.2     Mode = 61
--------------------------------------------------
Date, Time, Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude
5/17/2016,13:19:00,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:01,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:02,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:03,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:04,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:05,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:06,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:07,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:08,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:09,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:10,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:11,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:12,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:13,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:14,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:15,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:16,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:17,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:18,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:19,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:20,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:21,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:22,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:23,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:24,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:25,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:26,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:27,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:28,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:29,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:30,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:31,0,0,0,0,0,1,0,0,0,0
5/17/2016,13:19:32,0,0,0,0,0,1,0,0,0,0
