mode,mode_binary,axis1,axis2,axis3,steps,heart_rate,lux,incline
0,0,X,,,,,,
1,1,X,,,X,,,
2,10,X,,,,X,,
3,11,X,,,X,X,,
4,100,X,X,,,,,
5,101,X,X,,X,,,
6,110,X,X,,,X,,
7,111,X,X,,X,X,,
8,1000,X,,X,,,,
9,1001,X,,X,X,,,
10,1010,X,,X,,X,,
11,1011,X,,X,X,X,,
12,1100,X,X,X,,,,
13,1101,X,X,X,X,,,
14,1110,X,X,X,,X,,
15,1111,X,X,X,X,X,,
16,10000,X,,,,,X,
17,10001,X,,,X,,X,
18,10010,X,,,,X,X,
19,10011,X,,,X,X,X,
20,10100,X,X,,,,X,
21,10101,X,X,,X,,X,
22,10110,X,X,,,X,X,
23,10111,X,X,,X,X,X,
24,11000,X,,X,,,X,
25,11001,X,,X,X,,X,
26,11010,X,,X,,X,X,
27,11011,X,,X,X,X,X,
28,11100,X,X,X,,,X,
29,11101,X,X,X,X,,X,
30,11110,X,X,X,,X,X,
31,11111,X,X,X,X,X,X,
32,100000,X,,,,,,X
33,100001,X,,,X,,,X
34,100010,X,,,,X,,X
35,100011,X,,,X,X,,X
36,100100,X,X,,,,,X
37,100101,X,X,,X,,,X
38,100110,X,X,,,X,,X
39,100111,X,X,,X,X,,X
40,101000,X,,X,,,,X
41,101001,X,,X,X,,,X
42,101010,X,,X,,X,,X
43,101011,X,,X,X,X,,X
44,101100,X,X,X,,,,X
45,101101,X,X,X,X,,,X
46,101110,X,X,X,,X,,X
47,101111,X,X,X,X,X,,X
48,110000,X,,,,,X,X
49,110001,X,,,X,,X,X
50,110010,X,,,,X,X,X
51,110011,X,,,X,X,X,X
52,110100,X,X,,,,X,X
53,110101,X,X,,X,,X,X
54,110110,X,X,,,X,X,X
55,110111,X,X,,X,X,X,X
56,111000,X,,X,,,X,X
57,111001,X,,X,X,,X,X
58,111010,X,,X,,X,X,X
59,111011,X,,X,X,X,X,X
60,111100,X,X,X,,,X,X
61,111101,X,X,X,X,,X,X
62,111110,X,X,X,,X,X,X
63,111111,X,X,X,X,X,X,X
